tweet_id,source,text,date,exact_hour,exact_minute,exact_second,favourite_count,retweet_count,retweeted_status,name,rating(out_of_10_per_dog),dog_stage,dog_breed,confidence_level,jpg_url,url
667405339315146752,Twitter for iPhone,This is Biden. Biden just tripped... 7/10 https://t.co/3Fm9PwLju1,2015-11-19,18,13,27,432.0,206.0,Original tweet,Biden,7.0,None,Saint_Bernard,0.381377,https://pbs.twimg.com/media/CUMZnmhUEAEbtis.jpg,https://t.co/3Fm9PwLju1
667435689202614272,Twitter for iPhone,Ermergerd 12/10 https://t.co/PQni2sjPsm,2015-11-19,20,14,3,286.0,79.0,Original tweet,None,12.0,None,Rottweiler,0.999091,https://pbs.twimg.com/media/CUM1OHCW4AEgGSi.jpg,https://t.co/PQni2sjPsm
667453023279554560,Twitter Web Client,Meet Cupcake. I would do unspeakable things for Cupcake. 11/10 https://t.co/6uLCWR9Efa,2015-11-19,21,22,56,291.0,81.0,Original tweet,Cupcake,11.0,None,Labrador_retriever,0.8256700000000001,https://pbs.twimg.com/media/CUNE_OSUwAAdHhX.jpg,https://t.co/6uLCWR9Efa
667455448082227200,Twitter Web Client,This is Reese and Twips. Reese protects Twips. Both think they're too good for seat belts. Simply reckless. 7/10s https://t.co/uLzRi1drVK,2015-11-19,21,32,34,179.0,56.0,Original tweet,Reese,7.0,None,Tibetan_terrier,0.676376,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg,https://t.co/uLzRi1drVK
667470559035432960,Twitter Web Client,This is a northern Wahoo named Kohl. He runs this town. Chases tumbleweeds. Draws gun wicked fast. 11/10 legendary https://t.co/J4vn2rOYFk,2015-11-19,22,32,36,235.0,89.0,Original tweet,None,11.0,None,toy_poodle,0.304175,https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg,https://t.co/J4vn2rOYFk
667491009379606528,Twitter Web Client,Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10 https://t.co/ITxxcc4v9y,2015-11-19,23,53,52,484.0,207.0,Original tweet,None,7.0,None,borzoi,0.852088,https://pbs.twimg.com/media/CUNniSlUYAEj1Jl.jpg,https://t.co/ITxxcc4v9y
667495797102141441,Twitter Web Client,This is Philippe from Soviet Russia. Commanding leader. Misplaced other boot. Hung flag himself. 9/10 charismatic af https://t.co/5NhPV8E45i,2015-11-20,0,12,54,486.0,244.0,Original tweet,Philippe,9.0,None,Chihuahua,0.143957,https://pbs.twimg.com/media/CUNr4-7UwAAg2lq.jpg,https://t.co/5NhPV8E45i
667502640335572993,Twitter Web Client,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s https://t.co/n5Wtb5Hvsl,2015-11-20,0,40,5,507.0,202.0,Original tweet,Hall,11.0,None,Labrador_retriever,0.996709,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg,https://t.co/n5Wtb5Hvsl
667517642048163840,Twitter Web Client,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0,2015-11-20,1,39,42,345.0,177.0,Original tweet,Dook,8.0,None,Italian_greyhound,0.125176,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg,https://t.co/fh5KflzBR0
667524857454854144,Twitter Web Client,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm,2015-11-20,2,8,22,1586.0,1035.0,Original tweet,None,12.0,None,Chesapeake_Bay_retriever,0.08812239999999999,https://pbs.twimg.com/media/CUOGUfJW4AA_eni.jpg,https://t.co/seESNzgsdm
